dataset_id,adjustment,score_method,program_left,lineage_left,program_right,lineage_right,n_donors,spearman_rho,permutation_p_two_sided,fdr_within_dataset_method_adjustment
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,17,0.21813725490196081,0.40055994400559947,0.7144579659681092
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,17,0.32843137254901966,0.20067993200679932,0.5471452854714529
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,17,0.31127450980392163,0.22317768223177684,0.5822026493002873
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,17,0.24264705882352944,0.35066493350664935,0.6751705781802771
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,17,0.18137254901960786,0.47365263473652636,0.7454444428974825
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,17,0.573529411764706,0.0174982501749825,0.321967803219678
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,17,0.4338235294117647,0.08289171082891711,0.40267973202679735
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,17,0.2843137254901961,0.27147285271472854,0.6751705781802771
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,17,0.21813725490196081,0.40035996400359963,0.7144579659681092
GSE244832,disease_group_plus_qc,singscore,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,17,0.5049019607843138,0.0392960703929607,0.321967803219678
GSE244832,disease_group_plus_qc,standardized_mean,RAM2019_ENDO_1,endothelial,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,17,-0.39460784313725494,0.11288871112888711,0.43698855920859525
GSE244832,disease_group_plus_qc,standardized_mean,RAM2019_ENDO_1,endothelial,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,17,-0.09313725490196079,0.7172282771722828,0.859042808590428
GSE244832,disease_group_plus_qc,standardized_mean,RAM2019_ENDO_1,endothelial,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,17,0.28921568627450983,0.2582741725827417,0.5500502581320815
GSE244832,disease_group_plus_qc,standardized_mean,RAM2019_ENDO_1,endothelial,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,17,0.4852941176470589,0.049795020497950204,0.38450700384507003
GSE244832,disease_group_plus_qc,standardized_mean,RAM2019_ENDO_1,endothelial,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,17,0.15441176470588236,0.5452454754524547,0.735126487351265
GSE244832,disease_group_plus_qc,standardized_mean,RAM2019_ENDO_1,endothelial,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,17,-0.3357843137254902,0.18908109189081093,0.5050161650501617
GSE244832,disease_group_plus_qc,standardized_mean,RAM2019_ENDO_1,endothelial,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,18,0.21775025799793604,0.39016098390160986,0.6544345565443455
GSE244832,disease_group_plus_qc,standardized_mean,RAM2019_ENDO_1,endothelial,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,18,0.0196078431372549,0.941005899410059,0.9819191993844094
GSE244832,disease_group_plus_qc,standardized_mean,RAM2019_ENDO_1,endothelial,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,18,0.1496388028895769,0.5513448655134486,0.735126487351265
