lineage,gene_symbol,program_recurrence,measured_gse202379,measured_gse244832,gse202379_n_donors,gse202379_detection_rate,gse202379_stage_spearman_rho,gse244832_n_control,gse244832_n_case,gse244832_detection_rate,gse244832_mash_vs_normal_hedges_g,passes_measurement,passes_discovery_effects,stage_effect_percentile,mash_effect_percentile,mean_discovery_effect_percentile
mesenchymal_hsc_myofibroblast,PLTP,2,True,True,24.0,0.7916666666666666,0.0310708695441369,5.0,9.0,1.0,0.7051609032338204,True,False,0.4186046511627907,0.7209302325581395,0.5697674418604651
mesenchymal_hsc_myofibroblast,PPIB,2,True,True,24.0,0.9166666666666666,0.3148033655783421,5.0,9.0,1.0,0.449516044777815,True,True,0.8488372093023255,0.6511627906976745,0.75
mesenchymal_hsc_myofibroblast,PRSS23,2,True,True,24.0,1.0,0.0219686769352812,5.0,9.0,1.0,0.3616279986692968,True,False,0.3837209302325581,0.5581395348837209,0.4709302325581395
mesenchymal_hsc_myofibroblast,PTGDS,2,True,True,24.0,0.875,0.5788626236925783,5.0,9.0,0.0714285714285714,0.3821898889448931,False,False,0.9883720930232558,0.5930232558139535,0.7906976744186047
mesenchymal_hsc_myofibroblast,PTGIS,2,True,True,24.0,1.0,-0.3707774658260738,5.0,9.0,1.0,0.1904651374558764,True,False,0.0348837209302325,0.4186046511627907,0.2267441860465116
mesenchymal_hsc_myofibroblast,RAMP1,3,True,True,24.0,1.0,-0.2062365589842731,5.0,9.0,1.0,0.1758301772047829,True,False,0.1511627906976744,0.3953488372093023,0.2732558139534883
mesenchymal_hsc_myofibroblast,RARRES1,3,True,True,24.0,0.9583333333333334,0.2156517062422508,5.0,9.0,1.0,0.1304267229125471,True,False,0.686046511627907,0.3488372093023256,0.5174418604651163
mesenchymal_hsc_myofibroblast,RARRES2,2,True,True,24.0,1.0,0.1430205702521373,5.0,9.0,1.0,-0.7350344316639128,True,False,0.6046511627906976,0.0348837209302325,0.3197674418604651
mesenchymal_hsc_myofibroblast,RBP1,2,True,True,24.0,1.0,0.0022417017280899,5.0,9.0,1.0,0.0492626639955317,True,False,0.3604651162790697,0.2906976744186046,0.3255813953488372
mesenchymal_hsc_myofibroblast,RPL12,2,False,True,,,,,,,,False,False,,,
mesenchymal_hsc_myofibroblast,RPL13,2,False,True,,,,,,,,False,False,,,
mesenchymal_hsc_myofibroblast,RPL28,2,False,True,,,,,,,,False,False,,,
